OBEC,OKRES,PSC
Hrabová Roztoka,Snina,067 73
Hrabovčík,Svidník,089 01
Hrabovec,Bardejov,086 11
Hrabovec n/ Laborcom,Humenné,067 01
Hrabovka,Trenčín,913 32
Hrabské,Bardejov,086 06
Hrabušice,Spišská Nová Ves,053 15
Hradisko,Kežmarok,059 71
Hradište,Partizánske,958 54
Hradište,Poltár,
Hradište pod Vrátnom,Senica,906 12
Hrádok,Nové Mesto n.Váhom,916 33
Hrachovište,Nové Mesto n.Váhom,916 16
Hrachovo,Rimavská Sobota,980 52
Hraň,Trebišov,076 03
Hraničné,Stará Ľubovňa,065 22
Hranovnica,Poprad,059 16
Hrašné,Myjava,916 14
Hrašovík,Košice - okolie,044 42
Hrčeľ,Trebišov,076 15
Hrhov,Rožňava,049 44
Hriadky,Trebišov,076 22
Hričovské Podhradie,Žilina,013 41
Hriňová,Detva,
Hriňová-Biele Vody,Detva,976 53
Hriňová-Vrchslatina,Detva,976 53
Hrišovce,Gelnica,053 51
Hrkovce,Levice,936 01
Hrlica,Revúca,982 66
Hrnčiarovce n/Parnou,Trnava,919 35
Hrnčiarska Ves,Poltár,
Hrnčiarska Ves-Maštinec,Poltár,987 01
Hrnčiarske Zalužany,Poltár,980 12
Hrochoť,Banská Bystrica,976 37
Hromoš,Stará Ľubovňa,065 45
Hronec,Brezno,976 45
Hronovce,Levice,935 61
Hronsek,Banská Bystrica,976 31
Hronská Breznica,Zvolen,966 11
Hronská Dúbrava,Žiar nad Hronom,966 11
Hronské Kľačany,Levice,
Hronské Kosihy,Levice,935 27
Hronský Beňadik,Žarnovica,966 53
